Order,Fuel Pathway Code,Group,Feedstock Sources,Process Type,Fuel type,Energy  used  in  the process
42,LNG_bCO2_rH2_M_gm,LNG,CO2: Biogenic Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural Gas (Methane),Grid mix electricity
28,"LPG(Butane)_bCO2_fH2_FT
_gm",LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
30,LPG(Butane)_bCO2_ibpH2_ FT_gm,LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
29,"LPG(Butane)_bCO2_rH2_FT
_gm",LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
18,LPG(Propane)_bCO2_fH2_F T_gm,LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
20,"LPG(Propane)_bCO2_ibpH2
_FT_gm",LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
19,LPG(Propane)_bCO2_rH2_F T_gm,LPG,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
98,MeOH_bCO2_fH2_MS_gm,Methanol,CO2: Biogenic Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
100,MeOH_bCO2_ibpH2_MS_gm,Methanol,CO2: Biogenic Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
99,MeOH_bCO2_rH2_MS_gm,Methanol,CO2: Biogenic Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
51,CNG_rCO2_fH2_M_gm,CNG,CO2: Direct Air Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
53,CNG_rCO2_ibpH2_M_gm,CNG,CO2: Direct Air Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
52,CNG_rCO2_rH2_M_gm,CNG,CO2: Direct Air Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
72,"FT-
Diesel_rCO2_ibpH2_FT_gm",Diesel,CO2: Direct Air Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
70,FT-Diesel_rCO2_fH2_FT_gm,Diesel,CO2: Direct Air Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
71,FT-Diesel_rCO2_rH2_FT_gm,Diesel,CO2: Direct Air Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
38,LNG_rCO2_fH2_M_gm,LNG,CO2: Direct Air Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
40,LNG_rCO2_ibpH2_M_gm,LNG,CO2: Direct Air Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
39,LNG_rCO2_rH2_M_gm,LNG,CO2: Direct Air Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
25,LPG(Butane)_rCO2_fH2_FT_ gm,LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
27,LPG(Butane)_rCO2_ibpH2_F T_gm,LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
26,LPG(Butane)_rCO2_rH2_FT_ gm,LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
15,"LPG(Propane)_rCO2_fH2_FT
_gm",LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
17,LPG(Propane)_rCO2_ibpH2_ FT_gm,LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
16,LPG(Propane)_rCO2_rH2_F T_gm,LPG,CO2: Direct Air Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
95,MeOH_rCO2_fH2_MS_gm,Methanol,CO2: Direct Air Capture,Methanol Synthesis,Methanol,Grid mix electricity
97,MeOH_rCO2_ibpH2_MS_gm,Methanol,CO2: Direct Air Capture,Methanol Synthesis,Methanol,Grid mix electricity
96,MeOH_rCO2_rH2_MS_gm,Methanol,CO2: Direct Air Capture,Methanol Synthesis,Methanol,Grid mix electricity
48,CNG_fCO2_fH2_M_gm,CNG,CO2: Fossil Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
50,CNG_fCO2_ibpH2_M_gm,CNG,CO2: Fossil Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
49,CNG_fCO2_rH2_M_gm,CNG,CO2: Fossil Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
69,"FT-
Diesel_fCO2_ibpH2_FT_gm",Diesel,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
67,FT-Diesel_fCO2_fH2_FT_gm,Diesel,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
68,FT-Diesel_fCO2_rH2_FT_gm,Diesel,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
37,LNG_fCO2_ibpH2_M_gm,LNG,CO2: Fossil Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
36,LNG_fCO2_rH2_M_gm,LNG,CO2: Fossil Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
22,LPG(Butane)_fCO2_fH2_FT_ gm,LPG,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
24,LPG(Butane)_fCO2_ibpH2_F T_gm,LPG,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
23,LPG(Butane)_fCO2_rH2_FT_ gm,LPG,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
12,"LPG(Propane)_fCO2_fH2_FT
_gm",LPG,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
14,LPG(Propane)_fCO2_ibpH2_ FT_gm,LPG,CO2: Fossil Point Source Carbon Capture,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
92,MeOH_fCO2_fH2_MS_gm,Methanol,CO2: Fossil Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
94,MeOH_fCO2_ibpH2_MS_gm,Methanol,CO2: Fossil Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
93,MeOH_fCO2_rH2_MS_gm,Methanol,CO2: Fossil Point Source Carbon Capture,Methanol Synthesis,Methanol,Grid mix electricity
13,"LPG(Propane)_fCO2_rH2_FT
_gm",LPG,CO2: Fossil Point Source Carbon Capture23,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
117,NH3_f_G_HB_gm,Ammonia,Fossil coal,"Gasification of Coal and Haber Bosch
process",Ammonia,Grid mix electricity
118,NH3_f_G_HB_CCS_gm,Ammonia,Fossil coal,Gasification of Coal with Carbon Capture and long-term storage and Haber Bosch process,Ammonia,Grid mix electricity
108,H2_f_G_CCS _gm,Hydrogen,Fossil coal,"Gasification or Carbonization of Coal with Carbon
Capture and long- term storage",Hydrogen,Grid mix electricity
107,H2_f_G_gm,Hydrogen,Fossil coal,"Gasification or Carbonization of
Coal",Hydrogen,Grid mix electricity
88,MeOH_f_G_MS_gm,Methanol,Fossil coal,"Gasification of Coal and Methanol
Synthesis",Methanol,Grid mix electricity
89,MeOH_f_G_MS_CCS _gm,Methanol,Fossil coal,"Gasification of Coal with Carbon Capture
& Storage and Methanol Synthesis",Methanol,Grid mix electricity
7,"MDO/MGO(ULSFO)_f_b_CP
_gm",Diesel/Gas oil (ULSFO),Fossil crude oil,CoProcessing (CP) in refinery,"Bio co- processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB maximum
0.10 % S)",Grid mix electricity
9,"MDO/MGO(ULSFO)_f_r_CP
_gm",Diesel/Gas oil (ULSFO),Fossil crude oil,CoProcessing (CP) in refinery,"Co-processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB
maximum
0.10 % S)",Grid mix electricity
5,"MDO/MGO(ULSFO)_f_SR_g
m",Diesel/Gas oil (ULSFO),Fossil crude oil,Standard refinery process,"Marine Diesel/Gas Oil (ISO 8217
Grades DMX, DMA, DMZ
and DMB maximum
0.10 % S)",Grid mix electricity
8,"MDO/MGO(VLSFO)_f_b_CP
_gm",Diesel/Gas oil (VLSFO),Fossil crude oil,CoProcessing (CP) in refinery,"Bio co- processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB,
0.10 < S ≤
0.50%)",Grid mix electricity
10,"MDO/MGO(VLSFO)_f_r_CP
_gm",Diesel/Gas oil (VLSFO),Fossil crude oil,CoProcessing (CP) in refinery,"Co-processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB,
0.10 < S ≤
0.50%)",Grid mix electricity
6,"MDO/MGO(VLSFO)_f_SR_g
m",Diesel/Gas oil (VLSFO),Fossil crude oil,Standard refinery process,"Marine Diesel/Gas Oil (ISO 8217
Grades DMX, DMA, DMZ
and DMB,
0.10 < S ≤
0.50%)",Grid mix electricity
2,HFO(HSHFO)_f_SR_gm,HFO (HSHFO),Fossil crude oil,Standard refinery process,"Heavy Fuel Oil
(ISO 8217
Grades RME, RMG and RMK
exceeding 0.50% S)",Grid mix electricity
1,HFO(VLSFO)_f_SR_gm,HFO (VLSFO),Fossil crude oil,Standard refinery process,"Heavy Fuel Oil
(ISO 8217
Grades RME, RMG and RMK, 0.10 <
S ≤ 0.50%)",Grid mix electricity
3,LFO(ULSFO)_f_SR_gm,LFO (ULSFO),Fossil crude oil,Standard refinery process,"Light Fuel Oil (ISO 8217
Grades RMA, RMB and RMD
maximum 0.10% S)",Grid mix electricity
4,LFO(VLSFO)_f_SR_gm,LFO (VLSFO),Fossil crude oil,Standard refinery process,"Light Fuel Oil (ISO 8217
Grades RMA, RMB and RMD, 0.10 <
S ≤ 0.50%)",Grid mix electricity
21,LPG(Butane)_f_SR_gm,LPG,Fossil crude oil,Standard refinery process and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
11,LPG(Propane)_f_SR_gm,LPG22,Fossil crude oil,Standard refinery process and liquefaction,"Liquefied Petroleum
Gas (Propane)",Grid mix electricity
114,NH3_f_MPO_HB_gm,Ammonia,Fossil natural gas,"Methane Pyrolysis into pure carbon and
hydrogen and Haber Bosch process",Ammonia,Grid mix electricity
115,NH3_f_SMR_HB_gm,Ammonia,Fossil natural gas,"Steam Methane Reformation of Natural Gas and Haber Bosch
process",Ammonia,Grid mix electricity
116,NH3_f_SMR_HB_CCS_gm,Ammonia,Fossil natural gas,"Steam Methane Reformation of Natural Gas with Point Source Carbon Capture (PSCC) and long-term storage
and Haber Bosch process",Ammonia,Grid mix electricity
44,CNG_f_SR_gm,CNG,Fossil natural gas,"Standard refinery process and
compression","Compressed Natural Gas
(Methane)",Grid mix electricity
83,DME_f_G_DMES_gm,DME,Fossil natural gas,Gasification and DME Synthesis,Dimethyl Ether (DME),Grid mix electricity
57,Ethane_f_SR_gm,Ethane,Fossil natural gas,Standard refinery process,Ethane,Grid mix electricity
106,H2_f_MPO_gm,Hydrogen,Fossil natural gas,"Methane Pyrolysis into carbon and
hydrogen",Hydrogen,Grid mix electricity
104,H2_f_SMR_gm,Hydrogen,Fossil natural gas,Steam Methane Reformation of Natural Gas,Hydrogen,Grid mix electricity
105,H2_f_SMR_CCS_gm,Hydrogen,Fossil natural gas,"Steam Methane Reformation of Natural Gas with
Carbon Capture and long-term storage",Hydrogen,Grid mix electricity
31,LNG_f_SLP_gm,LNG,Fossil natural gas,Standard LNG production including liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
87,MeOH_f_SMR_CCS_gm,Methanol,Fossil natural gas,"Steam Methane Reformation of Natural Gas with Carbon Capture &
Storage and Methanol Synthesis",Methanol,Grid mix electricity
86,MeOH_f_SMR_gm,Methanol,Fossil natural gas,"Steam Methane Reformation of
Natural Gas and Methanol Synthesis",Methanol,Grid mix electricity
126,Electricity_gm,Electricity,Fossil/Renewable,'-,Electricity,Grid mix electricity
111,LH2_EL_gm_Liquefied,Hydrogen,Fossil/Renewable electricity water,Electrolysis and liquefaction,Hydrogen,Grid mix electricity
121,NH3_rN2_fH2_HB_gm,Ammonia,H2: Fossil steam methane reformation,Haber Bosch process,Ammonia,Grid mix electricity
123,NH3_gmN2_fH2_EL_n,Ammonia,H2: Fossil steam methane reformation,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
54,CNG_bCO2_fH2_M_gm,CNG,H2: Fossil steam methane reformation,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
48,CNG_fCO2_fH2_M_gm,CNG,H2: Fossil steam methane reformation,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
51,CNG_rCO2_fH2_M_gm,CNG,H2: Fossil steam methane reformation,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
73,"FT-
Diesel_bCO2_fH2_FT_gm",Diesel,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
67,FT-Diesel_fCO2_fH2_FT_gm,Diesel,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
70,FT-Diesel_rCO2_fH2_FT_gm,Diesel,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
41,LNG_bCO2_fH2_M_gm,LNG,H2: Fossil steam methane reformation,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
35,LNG_fCO2_fH2_M_gm,LNG,H2: Fossil steam methane reformation,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
38,LNG_rCO2_fH2_M_gm,LNG,H2: Fossil steam methane reformation,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
28,"LPG(Butane)_bCO2_fH2_FT
_gm",LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
22,LPG(Butane)_fCO2_fH2_FT_ gm,LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
25,LPG(Butane)_rCO2_fH2_FT_ gm,LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
18,LPG(Propane)_bCO2_fH2_F T_gm,LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
12,"LPG(Propane)_fCO2_fH2_FT
_gm",LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
15,"LPG(Propane)_rCO2_fH2_FT
_gm",LPG,H2: Fossil steam methane reformation,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
98,MeOH_bCO2_fH2_MS_gm,Methanol,H2: Fossil steam methane reformation,Methanol Synthesis,Methanol,Grid mix electricity
92,MeOH_fCO2_fH2_MS_gm,Methanol,H2: Fossil steam methane reformation,Methanol Synthesis,Methanol,Grid mix electricity
95,MeOH_rCO2_fH2_MS_gm,Methanol,H2: Fossil steam methane reformation,Methanol Synthesis,Methanol,Grid mix electricity
120,NH3_rN2_rH2_HB_gm,Ammonia,H2: from Renewable electricity,Haber Bosch process,Ammonia,Grid mix electricity
124,NH3_gmN2_rH2_EL_n,Ammonia,H2: from Renewable electricity,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
55,CNG_bCO2_rH2_M_gm,CNG,H2: from Renewable electricity,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
49,CNG_fCO2_rH2_M_gm,CNG,H2: from Renewable electricity,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
52,CNG_rCO2_rH2_M_gm,CNG,H2: from Renewable electricity,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
74,"FT-
Diesel_bCO2_rH2_FT_gm",Diesel,H2: from Renewable electricity,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
68,FT-Diesel_fCO2_rH2_FT_gm,Diesel,H2: from Renewable electricity,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
71,FT-Diesel_rCO2_rH2_FT_gm,Diesel,H2: from Renewable electricity,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
36,LNG_fCO2_rH2_M_gm,LNG,H2: from Renewable electricity,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
39,LNG_rCO2_rH2_M_gm,LNG,H2: from Renewable electricity,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
42,LNG_bCO2_rH2_M_gm,LNG,H2: from Renewable electricity,Methanation and liquefaction,Liquefied Natural Gas (Methane),Grid mix electricity
29,"LPG(Butane)_bCO2_rH2_FT
_gm",LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
23,LPG(Butane)_fCO2_rH2_FT_ gm,LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
26,LPG(Butane)_rCO2_rH2_FT_ gm,LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Butane),Grid mix electricity
19,LPG(Propane)_bCO2_rH2_F T_gm,LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
13,"LPG(Propane)_fCO2_rH2_FT
_gm",LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
16,LPG(Propane)_rCO2_rH2_F T_gm,LPG,H2: from Renewable electricity,Fischer-Tropsch Synthesis and liquefaction,Liquefied Petroleum Gas (Propane),Grid mix electricity
99,MeOH_bCO2_rH2_MS_gm,Methanol,H2: from Renewable electricity,Methanol Synthesis,Methanol,Grid mix electricity
93,MeOH_fCO2_rH2_MS_gm,Methanol,H2: from Renewable electricity,Methanol Synthesis,Methanol,Grid mix electricity
96,MeOH_rCO2_rH2_MS_gm,Methanol,H2: from Renewable electricity,Methanol Synthesis,Methanol,Grid mix electricity
122,NH3_rN2_ibpH2_HB_gm,Ammonia,H2: Industrial by- product hydrogen,Haber Bosch process,Ammonia,Grid mix electricity
125,NH3_gmN2_ibpH2_EL_n,Ammonia,H2: Industrial by- product hydrogen,Thermochemical Cycles or Electrolysis,Ammonia,Nuclear
